node_id,type,value,time
1,F,b'71.08',1769012592.597002
1,H,b'31.50',1769012592.632904
1,P,b'30.23',1769012592.63412
88,F,b'41.11',1769012858.512029
88,H,b'41.17',1769012858.547995
88,P,b'30.26',1769012858.549285
106,F,b'72.46',1769013047.740661
106,H,b'30.73',1769013047.782812
106,P,b'30.25',1769013047.784399
108,F,b'22.68',1769013167.041776
108,H,b'59.31',1769013167.114377
108,P,b'30.19',1769013167.115933
1,F,b'71.40',1769013192.607756
1,H,b'31.10',1769013192.643469
1,P,b'30.22',1769013192.645089
88,F,b'41.13',1769013600.114042
88,H,b'41.17',1769013600.146623
88,P,b'30.25',1769013600.148165
1,F,b'71.40',1769013792.614249
1,H,b'31.53',1769013792.648124
1,P,b'30.21',1769013792.649588
106,F,b'72.25',1769013806.861472
106,H,b'30.84',1769013806.897298
106,P,b'30.23',1769013806.898946
108,F,b'23.05',1769013900.403724
108,H,b'59.14',1769013900.438553
108,P,b'30.18',1769013900.440087
88,F,b'41.13',1769014341.882734
88,H,b'41.15',1769014341.922624
88,P,b'30.25',1769014341.924291
1,F,b'71.42',1769014392.62715
1,H,b'31.92',1769014392.713725
1,P,b'30.21',1769014392.71527
106,F,b'72.16',1769014565.967197
106,H,b'30.87',1769014566.000885
106,P,b'30.22',1769014566.003243
108,F,b'23.59',1769014633.938375
108,H,b'58.79',1769014633.972209
108,P,b'30.17',1769014633.973827
1,F,b'71.42',1769014992.633553
1,H,b'32.13',1769014992.670549
1,P,b'30.21',1769014992.672287
88,F,b'41.14',1769015083.697097
88,H,b'41.15',1769015083.734562
88,P,b'30.23',1769015083.735933
106,F,b'71.96',1769015324.980249
106,H,b'30.92',1769015325.014265
106,P,b'30.22',1769015325.015896
108,F,b'24.12',1769015367.631455
108,H,b'58.93',1769015367.671345
108,P,b'30.17',1769015367.67272
1,F,b'71.35',1769015592.653507
1,H,b'32.31',1769015592.692955
1,P,b'30.20',1769015592.694314
88,F,b'41.18',1769015825.543511
88,H,b'41.15',1769015825.578473
88,P,b'30.23',1769015825.580079
106,F,b'71.73',1769016083.967535
106,H,b'31.02',1769016084.00496
106,P,b'30.22',1769016084.006303
108,F,b'24.80',1769016101.441726
108,H,b'59.03',1769016101.48106
108,P,b'30.16',1769016101.482677
1,F,b'71.11',1769016192.654883
1,H,b'32.20',1769016192.698183
1,P,b'30.20',1769016192.699553
88,F,b'41.16',1769016567.249701
88,H,b'41.03',1769016567.289071
88,P,b'30.22',1769016567.290749
1,F,b'71.24',1769016792.661534
1,H,b'32.31',1769016792.694513
1,P,b'30.18',1769016792.695978
108,F,b'25.39',1769016835.364772
108,H,b'58.43',1769016835.397287
108,P,b'30.15',1769016835.398857
106,F,b'71.78',1769016842.954962
106,H,b'31.19',1769016842.988587
106,P,b'30.20',1769016842.990348
88,F,b'41.09',1769017309.014393
88,H,b'41.15',1769017309.049476
88,P,b'30.21',1769017309.050986
1,F,b'71.42',1769017392.678631
1,H,b'32.87',1769017392.768394
1,P,b'30.17',1769017392.770205
108,F,b'25.47',1769017569.424093
108,H,b'58.17',1769017569.49991
108,P,b'30.15',1769017569.501905
106,F,b'72.07',1769017601.916834
106,H,b'31.29',1769017601.951626
106,P,b'30.18',1769017601.953218
1,F,b'71.40',1769017992.680568
1,H,b'32.87',1769017992.723246
1,P,b'30.16',1769017992.725042
88,F,b'41.22',1769018050.751186
88,H,b'41.18',1769018050.826896
88,P,b'30.19',1769018050.828454
108,F,b'26.06',1769018303.588768
108,H,b'58.52',1769018303.622328
108,P,b'30.12',1769018303.623862
106,F,b'72.23',1769018360.918581
106,H,b'31.20',1769018360.959466
106,P,b'30.16',1769018360.960924
1,F,b'71.40',1769018592.691892
1,H,b'32.54',1769018592.769596
1,P,b'30.15',1769018592.771139
88,F,b'41.40',1769018792.531147
88,H,b'41.18',1769018792.579626
88,P,b'30.17',1769018792.581098
108,F,b'26.44',1769019037.766007
108,H,b'58.14',1769019037.803042
108,P,b'30.11',1769019037.80452
106,F,b'72.12',1769019119.890278
106,H,b'31.22',1769019119.94176
106,P,b'30.15',1769019119.943267
1,F,b'70.95',1769019192.699883
1,H,b'32.22',1769019192.735004
1,P,b'30.15',1769019192.736535
88,F,b'41.50',1769019534.416107
88,H,b'41.17',1769019534.449018
88,P,b'30.16',1769019534.450256
108,F,b'26.80',1769019772.015633
108,H,b'57.96',1769019772.063301
108,P,b'30.10',1769019772.064858
1,F,b'71.29',1769019792.706175
1,H,b'31.98',1769019792.739141
1,P,b'30.11',1769019792.740605
106,F,b'71.98',1769019878.850673
106,H,b'31.25',1769019878.885276
106,P,b'30.14',1769019878.887049
88,F,b'41.61',1769020276.256347
88,H,b'41.18',1769020276.290403
88,P,b'30.14',1769020276.292264
1,F,b'71.29',1769020392.714367
1,H,b'31.96',1769020392.749831
1,P,b'30.11',1769020392.751389
108,F,b'27.00',1769020506.235727
108,H,b'57.80',1769020506.269271
108,P,b'30.09',1769020506.270527
106,F,b'71.78',1769020637.64872
106,H,b'31.33',1769020637.682767
106,P,b'30.13',1769020637.684385
1,F,b'71.22',1769020992.740834
1,H,b'32.01',1769020992.780284
1,P,b'30.10',1769020992.783451
88,F,b'41.68',1769021018.170908
88,H,b'41.19',1769021018.207452
88,P,b'30.13',1769021018.208717
108,F,b'27.23',1769021240.466036
108,H,b'57.48',1769021240.50109
108,P,b'30.07',1769021240.5029
106,F,b'71.58',1769021396.518676
106,H,b'31.40',1769021396.552755
106,P,b'30.10',1769021396.554287
1,F,b'71.17',1769021592.733796
1,H,b'32.10',1769021592.812964
1,P,b'30.07',1769021592.814601
88,F,b'41.77',1769021760.072055
88,H,b'41.18',1769021760.150551
88,P,b'30.09',1769021760.152123
108,F,b'27.30',1769021974.754877
108,H,b'57.47',1769021974.788783
108,P,b'30.03',1769021974.790054
106,F,b'71.38',1769022155.426344
106,H,b'31.47',1769022155.463924
106,P,b'30.06',1769022155.465528
1,F,b'71.06',1769022192.742382
1,H,b'32.22',1769022192.782058
1,P,b'30.05',1769022192.78331
